id,time,F_x,F_y,F_z,T_x,T_y,T_z
1,0,-1,-1,63,-3,-1,0
1,1,0,0,62,-3,-1,0
1,2,-1,-1,61,-3,0,0
1,3,-1,-1,63,-2,-1,0
1,4,-1,-1,63,-3,-1,0
1,5,-1,-1,63,-3,-1,0
1,6,-1,-1,63,-3,0,0
1,7,-1,-1,63,-3,-1,0
1,8,-1,-1,63,-3,-1,0
1,9,-1,-1,61,-3,0,0
1,10,-1,-1,61,-3,0,0
1,11,-1,-1,64,-3,-1,0
1,12,-1,-1,64,-3,-1,0
1,13,-1,-1,60,-3,0,0
1,14,-1,0,64,-2,-1,0
2,0,-1,-1,63,-2,-1,0
2,1,-1,-1,63,-3,-1,0
2,2,-1,-1,61,-3,0,0
2,3,0,-4,63,1,0,0
2,4,0,-1,59,-2,0,-1
2,5,-3,3,57,-8,-3,-1
2,6,-1,3,70,-10,-2,-1
2,7,0,-3,61,0,0,0
2,8,0,-2,53,-1,-2,0
2,9,0,-3,66,1,4,0
2,10,-3,3,58,-10,-5,0
2,11,-1,-1,66,-4,-2,0
2,12,-1,-2,67,-3,-1,0
2,13,0,1,66,-6,-3,-1
2,14,-1,-1,59,-3,-4,0
3,0,-1,0,57,-5,-3,0
3,1,0,-3,63,-1,0,0
3,2,-1,1,51,-4,-1,-1
3,3,-1,-2,68,-2,-2,0
3,4,-1,-1,65,-6,1,0
3,5,0,0,61,-5,-2,0
3,6,-1,1,61,-6,0,-1
3,7,0,-3,57,3,-4,0
3,8,-1,-1,59,-4,-4,0
3,9,1,-3,65,-1,1,0
3,10,-1,2,64,-7,-2,0
3,11,-1,1,66,-7,-3,-1
3,12,-1,0,61,-5,-5,0
3,13,-1,0,65,-6,-2,-1
3,14,-1,0,54,-4,-3,0
4,0,0,-1,59,-2,-1,-1
4,1,0,-3,61,-1,2,0
4,2,-2,1,56,-6,-3,0
4,3,1,-3,64,-1,4,0
4,4,-1,1,62,-7,1,-1
4,5,-1,0,60,-9,-5,-1
4,6,1,1,56,-5,0,0
4,7,1,-1,66,-4,2,1
4,8,-2,5,64,-15,-2,0
4,9,-1,2,58,-8,-4,0
4,10,0,1,70,-9,-2,-1
4,11,-1,1,64,-8,-6,-1
4,12,0,-1,67,-6,0,-1
4,13,0,-2,63,-4,0,0
4,14,-1,1,63,-8,-2,0
5,0,0,-2,65,-4,-2,0
5,1,-1,-2,56,-5,-3,0
5,2,0,0,58,-9,-1,0
5,3,-1,-1,56,-5,-3,0
5,4,-2,3,57,-12,-4,-1
5,5,-1,-2,65,-5,-2,0
5,6,-1,2,56,-9,-5,0
5,7,2,-2,60,-2,3,1
5,8,0,1,67,-9,-2,1
5,9,-1,2,60,-10,-5,0
5,10,0,-3,63,-3,-1,0
5,11,-1,-1,73,-8,-5,0
5,12,-1,0,57,-7,-4,-1
5,13,-1,0,59,-8,-4,-1
5,14,-1,1,57,-9,-4,-1
6,0,-1,2,57,-10,-3,0
6,1,-2,3,60,-12,-4,-1
6,2,-1,2,63,-12,-6,1
6,3,1,3,62,-11,0,0
6,4,-3,2,56,-9,-4,0
6,5,0,1,58,-8,-1,-1
6,6,-1,3,57,-11,-4,0
6,7,-2,3,61,-10,-5,0
6,8,-3,3,60,-11,-4,0
6,9,1,2,64,-9,0,-1
6,10,-1,2,60,-9,-5,0
6,11,-1,3,63,-12,-6,0
6,12,-1,0,52,-8,-2,0
6,13,-2,3,58,-13,-5,0
6,14,1,-2,59,-7,0,-1
7,0,-3,1,53,-10,-4,0
7,1,0,-2,65,-4,-1,0
7,2,-1,-1,56,-7,-3,0
7,3,0,-2,60,-6,0,0
7,4,-1,-1,57,-7,-4,0
7,5,-1,-1,56,-7,-3,0
7,6,-1,-1,61,-8,-5,0
7,7,-1,0,57,-6,-5,0
7,8,-2,-1,57,-7,-4,1
7,9,-1,0,53,-10,-5,-1
7,10,0,-2,70,-7,-5,0
7,11,-1,0,67,-10,-7,-1
7,12,0,-2,50,-3,-1,0
7,13,-1,-1,59,-9,-4,0
7,14,0,-2,61,-6,-1,0
8,0,2,0,69,-10,2,1
8,1,-2,1,58,-11,-4,0
8,2,-2,3,54,-12,-6,0
8,3,1,-1,62,-6,0,0
8,4,-1,1,63,-11,-3,-1
8,5,-1,0,50,-8,-1,-1
8,6,-1,0,60,-13,-5,0
8,7,-1,0,57,-11,-4,-1
8,8,-1,0,60,-8,-5,-1
8,9,-1,1,60,-8,-5,-1
8,10,1,0,60,-7,-1,0
8,11,-2,1,60,-12,-6,3
8,12,-1,0,63,-10,-3,1
8,13,-1,-1,54,-11,-3,0
8,14,0,-3,57,-5,1,0
9,0,-1,1,58,-11,-4,-1
9,1,0,0,64,-9,-3,0
9,2,0,0,61,-11,-2,0
